PMT 144 : Orientation V : Layer 5 : Origin (-1015,652.5,3986.3) : Extent (-1115→-915, 1.5→1303.5, 3980.3→3986.3)
PMT 145 : Orientation V : Layer 5 : Origin (-1015,-652.5,3986.3) : Extent (-1115→-915, -1303.5→-1.5, 3980.3→3986.3)
PMT 146 : Orientation V : Layer 5 : Origin (-812,652.5,3986.3) : Extent (-912→-712, 1.5→1303.5, 3980.3→3986.3)
PMT 147 : Orientation V : Layer 5 : Origin (-812,-652.5,3986.3) : Extent (-912→-712, -1303.5→-1.5, 3980.3→3986.3)
PMT 148 : Orientation V : Layer 5 : Origin (-609,652.5,3986.3) : Extent (-709→-509, 1.5→1303.5, 3980.3→3986.3)
PMT 149 : Orientation V : Layer 5 : Origin (-609,-652.5,3986.3) : Extent (-709→-509, -1303.5→-1.5, 3980.3→3986.3)
PMT 150 : Orientation V : Layer 5 : Origin (-406,652.5,3986.3) : Extent (-506→-306, 1.5→1303.5, 3980.3→3986.3)
PMT 151 : Orientation V : Layer 5 : Origin (-406,-652.5,3986.3) : Extent (-506→-306, -1303.5→-1.5, 3980.3→3986.3)
PMT 152 : Orientation V : Layer 5 : Origin (-203,652.5,3986.3) : Extent (-303→-103, 1.5→1303.5, 3980.3→3986.3)
PMT 153 : Orientation V : Layer 5 : Origin (-203,-652.5,3986.3) : Extent (-303→-103, -1303.5→-1.5, 3980.3→3986.3)
PMT 154 : Orientation V : Layer 5 : Origin (0,652.5,3986.3) : Extent (-100→100, 1.5→1303.5, 3980.3→3986.3)
PMT 155 : Orientation V : Layer 5 : Origin (0,-652.5,3986.3) : Extent (-100→100, -1303.5→-1.5, 3980.3→3986.3)
PMT 156 : Orientation V : Layer 5 : Origin (203,652.5,3986.3) : Extent (103→303, 1.5→1303.5, 3980.3→3986.3)
PMT 157 : Orientation V : Layer 5 : Origin (203,-652.5,3986.3) : Extent (103→303, -1303.5→-1.5, 3980.3→3986.3)
PMT 158 : Orientation V : Layer 5 : Origin (406,652.5,3986.3) : Extent (306→506, 1.5→1303.5, 3980.3→3986.3)
PMT 159 : Orientation V : Layer 5 : Origin (406,-652.5,3986.3) : Extent (306→506, -1303.5→-1.5, 3980.3→3986.3)
PMT 160 : Orientation V : Layer 5 : Origin (609,652.5,3986.3) : Extent (509→709, 1.5→1303.5, 3980.3→3986.3)
PMT 161 : Orientation V : Layer 5 : Origin (609,-652.5,3986.3) : Extent (509→709, -1303.5→-1.5, 3980.3→3986.3)
PMT 162 : Orientation V : Layer 5 : Origin (812,652.5,3986.3) : Extent (712→912, 1.5→1303.5, 3980.3→3986.3)
PMT 163 : Orientation V : Layer 5 : Origin (812,-652.5,3986.3) : Extent (712→912, -1303.5→-1.5, 3980.3→3986.3)
PMT 164 : Orientation V : Layer 5 : Origin (1015,652.5,3986.3) : Extent (915→1115, 1.5→1303.5, 3980.3→3986.3)
PMT 165 : Orientation V : Layer 5 : Origin (1015,-652.5,3986.3) : Extent (915→1115, -1303.5→-1.5, 3980.3→3986.3)
PMT 166 : Orientation V : Layer 5 : Origin (1218,652.5,3986.3) : Extent (1118→1318, 1.5→1303.5, 3980.3→3986.3)
PMT 167 : Orientation V : Layer 5 : Origin (1218,-652.5,3986.3) : Extent (1118→1318, -1303.5→-1.5, 3980.3→3986.3)
PMT 168 : Orientation H : Layer 6 : Origin (737.5,-1218,4107.4) : Extent (1.5→1473.5, -1318→-1118, 4101.4→4107.4)
PMT 169 : Orientation H : Layer 6 : Origin (-737.5,-1218,4107.4) : Extent (-1473.5→-1.5, -1318→-1118, 4101.4→4107.4)
PMT 170 : Orientation H : Layer 6 : Origin (737.5,-1015,4107.4) : Extent (1.5→1473.5, -1115→-915, 4101.4→4107.4)
PMT 171 : Orientation H : Layer 6 : Origin (-737.5,-1015,4107.4) : Extent (-1473.5→-1.5, -1115→-915, 4101.4→4107.4)
PMT 172 : Orientation H : Layer 6 : Origin (737.5,-812,4107.4) : Extent (1.5→1473.5, -912→-712, 4101.4→4107.4)
PMT 173 : Orientation H : Layer 6 : Origin (-737.5,-812,4107.4) : Extent (-1473.5→-1.5, -912→-712, 4101.4→4107.4)
PMT 174 : Orientation H : Layer 6 : Origin (737.5,-609,4107.4) : Extent (1.5→1473.5, -709→-509, 4101.4→4107.4)
PMT 175 : Orientation H : Layer 6 : Origin (-737.5,-609,4107.4) : Extent (-1473.5→-1.5, -709→-509, 4101.4→4107.4)
PMT 176 : Orientation H : Layer 6 : Origin (737.5,-406,4107.4) : Extent (1.5→1473.5, -506→-306, 4101.4→4107.4)
PMT 177 : Orientation H : Layer 6 : Origin (-737.5,-406,4107.4) : Extent (-1473.5→-1.5, -506→-306, 4101.4→4107.4)
PMT 178 : Orientation H : Layer 6 : Origin (737.5,-203,4107.4) : Extent (1.5→1473.5, -303→-103, 4101.4→4107.4)
PMT 179 : Orientation H : Layer 6 : Origin (-737.5,-203,4107.4) : Extent (-1473.5→-1.5, -303→-103, 4101.4→4107.4)
PMT 180 : Orientation H : Layer 6 : Origin (737.5,0,4107.4) : Extent (1.5→1473.5, -100→100, 4101.4→4107.4)
PMT 181 : Orientation H : Layer 6 : Origin (-737.5,0,4107.4) : Extent (-1473.5→-1.5, -100→100, 4101.4→4107.4)
PMT 182 : Orientation H : Layer 6 : Origin (737.5,203,4107.4) : Extent (1.5→1473.5, 103→303, 4101.4→4107.4)
PMT 183 : Orientation H : Layer 6 : Origin (-737.5,203,4107.4) : Extent (-1473.5→-1.5, 103→303, 4101.4→4107.4)
PMT 184 : Orientation H : Layer 6 : Origin (737.5,406,4107.4) : Extent (1.5→1473.5, 306→506, 4101.4→4107.4)
PMT 185 : Orientation H : Layer 6 : Origin (-737.5,406,4107.4) : Extent (-1473.5→-1.5, 306→506, 4101.4→4107.4)
PMT 186 : Orientation H : Layer 6 : Origin (737.5,609,4107.4) : Extent (1.5→1473.5, 509→709, 4101.4→4107.4)
